Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12645,2022,04-26-77-13-W6M,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0,158.018,13806.12898
G12645,2022,04-26-77-13-W6M,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,9962.0426,13193.4518,13806.12898
G12645,2022,04-26-77-13-W6M,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,2.255497,2.261878,13806.12898
G12646,2022,Mobil Pembina Oil Battery 13-09,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,15.967,18.10155,13906.09546
G12646,2022,Mobil Pembina Oil Battery 13-09,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,6.51259,12526.14195,13906.09546
G12646,2022,Mobil Pembina Oil Battery 13-09,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,1237.463,1243.91791,13906.09546
G12646,2022,Mobil Pembina Oil Battery 13-09,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.02045,117.93405,13906.09546
G12647,2022,ABGS0146000,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,8802.041,12525.82795,13949.2695
G12647,2022,ABGS0146000,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.87215,1423.44155,13949.2695
G12648,2022,Swan Hills GS 15-25,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,617.2386,699.73308,14145.09496
G12648,2022,Swan Hills GS 15-25,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,11921.678,13445.36188,14145.09496
G12650,2022,HyLife Foods LP,Manitoba,Hog slaughtering,Stationary Fuel Combustion / Combustion stationnaire de combustibles,10789.82,10789.82,14198.7
G12650,2022,HyLife Foods LP,Manitoba,Hog slaughtering,On-site Transportation / Transport sur le site,2007.88,2007.88,14198.7
G12650,2022,HyLife Foods LP,Manitoba,Hog slaughtering,Venting / Évacuation,1401,1401,14198.7
