Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G10749,2023,Paradise Hill Thermal 08-27-053-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Leakage / Fuites,0.35464,54.67156,125799.7681
G10749,2023,Paradise Hill Thermal 08-27-053-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,102054.7346,102600.4551,125799.7681
G10749,2023,Paradise Hill Thermal 08-27-053-24W3,Saskatchewan,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,1.3405,1.3405,125799.7681
G10749,2023,Paradise Hill Thermal 08-27-053-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Venting / Évacuation,0.69688,611.91588,125799.7681
G10750,2023,Kearl Oil Sands Processing Plant and Mine,Alberta,Mined oil sands extraction,Flaring / Torchage,26029.1973,26515.0371,3103846.439
G10750,2023,Kearl Oil Sands Processing Plant and Mine,Alberta,Mined oil sands extraction,Leakage / Fuites,30248.9181,50557.96714,3103846.439
G10750,2023,Kearl Oil Sands Processing Plant and Mine,Alberta,Mined oil sands extraction,Stationary Fuel Combustion / Combustion stationnaire de combustibles,2591118.1,2596336.734,3103846.439
G10750,2023,Kearl Oil Sands Processing Plant and Mine,Alberta,Mined oil sands extraction,Industrial Processes / Procédés industriels,0,1721.041283,3103846.439
G10750,2023,Kearl Oil Sands Processing Plant and Mine,Alberta,Mined oil sands extraction,On-site Transportation / Transport sur le site,423252.498,428690.5352,3103846.439
G10750,2023,Kearl Oil Sands Processing Plant and Mine,Alberta,Mined oil sands extraction,Wastewater / Eaux usées,0,25.124568,3103846.439
G10751,2023,Centrale de cogénération à la biomasse,Quebec,Other Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,43229,48316.9266,52939.71746
G10751,2023,Centrale de cogénération à la biomasse,Quebec,Other Electric Power Generation,Industrial Processes / Procédés industriels,4189,4214.98736,52939.71746
G10751,2023,Centrale de cogénération à la biomasse,Quebec,Other Electric Power Generation,On-site Transportation / Transport sur le site,368.572,407.8035,52939.71746
G10753,2023,North Battleford G.S.,Saskatchewan,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,814664.668,826305.8726,826305.8726
G10756,2023,Landis Power Station,Saskatchewan,Fossil-Fuel Electric Power Generation,Leakage / Fuites,3.41,3.41,20742.3936
G10756,2023,Landis Power Station,Saskatchewan,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,20453.37891,20738.9836,20742.3936
G10757,2023,Centre technologique AES,Quebec,Waste Treatment and Disposal,Stationary Fuel Combustion / Combustion stationnaire de combustibles,0.34,0.594828,61017.22499
G10757,2023,Centre technologique AES,Quebec,Waste Treatment and Disposal,On-site Transportation / Transport sur le site,11.04,11.070158,61017.22499
G10757,2023,Centre technologique AES,Quebec,Waste Treatment and Disposal,Waste / Déchets,0,61005.56,61017.22499
G10758,2023,Dawson Gas Plant,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,5719.774908,6587.87916,105586.2559
G10758,2023,Dawson Gas Plant,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.015653,67.676701,105586.2559
G10758,2023,Dawson Gas Plant,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,98078.16284,98858.28628,105586.2559
G10758,2023,Dawson Gas Plant,British Columbia,Oil and gas extraction (except oil sands),Venting / Évacuation,0.32985,72.413722,105586.2559
G10760,2023,"TransCanada Pipeline, Quebec",Quebec,Pipeline Transportation of Natural Gas,Leakage / Fuites,0.33646,610.91958,42131.7909
G10760,2023,"TransCanada Pipeline, Quebec",Quebec,Pipeline Transportation of Natural Gas,Stationary Fuel Combustion / Combustion stationnaire de combustibles,29516.80523,30524.35692,42131.7909
G10760,2023,"TransCanada Pipeline, Quebec",Quebec,Pipeline Transportation of Natural Gas,Venting / Évacuation,6.03812,10996.5144,42131.7909
G10762,2023,Twin Creeks Landfill (formerly Warwick Landfill),Ontario,Waste Treatment and Disposal,On-site Transportation / Transport sur le site,2337.0384,2391.9517,170825.3917
G10762,2023,Twin Creeks Landfill (formerly Warwick Landfill),Ontario,Waste Treatment and Disposal,Waste / Déchets,0,168433.44,170825.3917
G10763,2023,Sunrise Gas Plant (03-18-080-17W6) - TOU,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,2335.831845,2654.531817,52315.65215
G10763,2023,Sunrise Gas Plant (03-18-080-17W6) - TOU,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.594364,3490.653384,52315.65215
G10763,2023,Sunrise Gas Plant (03-18-080-17W6) - TOU,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,41959.08448,46170.46694,52315.65215
G10765,2023,Detour Lake Project,Ontario,Gold and Silver Ore Mining,Stationary Fuel Combustion / Combustion stationnaire de combustibles,11710.7047,11922.52427,294608.3971
G10765,2023,Detour Lake Project,Ontario,Gold and Silver Ore Mining,On-site Transportation / Transport sur le site,277738.7235,278816.6909,294608.3971
G10765,2023,Detour Lake Project,Ontario,Gold and Silver Ore Mining,Waste / Déchets,0,3869.10245,294608.3971
G10765,2023,Detour Lake Project,Ontario,Gold and Silver Ore Mining,Wastewater / Eaux usées,0,0.0795,294608.3971
G10767,2023,PARA KAYBOB 12-10-064-19W5,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,7276.8462,8249.41036,25763.04925
G10767,2023,PARA KAYBOB 12-10-064-19W5,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.05408,87.34604,25763.04925
G10767,2023,PARA KAYBOB 12-10-064-19W5,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13022.17124,13834.59068,25763.04925
G10767,2023,PARA KAYBOB 12-10-064-19W5,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,25.01877,3591.70217,25763.04925
G10768,2023,Meridian Lightweight Technologies Inc,Ontario,Non-Ferrous Die-Casting Foundries,Stationary Fuel Combustion / Combustion stationnaire de combustibles,4547.313,4570.154,84779.186
G10768,2023,Meridian Lightweight Technologies Inc,Ontario,Non-Ferrous Die-Casting Foundries,Industrial Processes / Procédés industriels,1233.173,80193.173,84779.186
G10768,2023,Meridian Lightweight Technologies Inc,Ontario,Non-Ferrous Die-Casting Foundries,On-site Transportation / Transport sur le site,15.594,15.859,84779.186
G10769,2023,Meridian Lightweight Technologies Inc. Plant E,Ontario,Non-Ferrous Die-Casting Foundries,Stationary Fuel Combustion / Combustion stationnaire de combustibles,4283.8,4305.441,106612.46
G10769,2023,Meridian Lightweight Technologies Inc. Plant E,Ontario,Non-Ferrous Die-Casting Foundries,Industrial Processes / Procédés industriels,538.276,102293.276,106612.46
G10769,2023,Meridian Lightweight Technologies Inc. Plant E,Ontario,Non-Ferrous Die-Casting Foundries,On-site Transportation / Transport sur le site,13.478,13.743,106612.46
G10770,2023,Parkland Gas Plant 03-09,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,4863.92164,5476.3452,30711.51388
G10770,2023,Parkland Gas Plant 03-09,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,1.64125,2450.27429,30711.51388
G10770,2023,Parkland Gas Plant 03-09,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,19562.49275,21506.77495,30711.51388
G10770,2023,Parkland Gas Plant 03-09,British Columbia,Oil and gas extraction (except oil sands),Venting / Évacuation,782.205,1278.11944,30711.51388
G10771,2023,Kaybob East 16-03,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,586.23485,664.0804,17819.35439
G10771,2023,Kaybob East 16-03,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.126525,195.821297,17819.35439
G10771,2023,Kaybob East 16-03,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13508.38631,16936.33559,17819.35439
G10771,2023,Kaybob East 16-03,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.005595,23.117103,17819.35439
G10772,2023,Kaybob West 07-14,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,251.913405,283.352345,40927.33103
G10772,2023,Kaybob West 07-14,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.090192,137.966924,40927.33103
G10772,2023,Kaybob West 07-14,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,32435.96083,40416.91638,40927.33103
G10772,2023,Kaybob West 07-14,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.018137,89.095377,40927.33103
G10773,2023,Saxon 10-19,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,470.7288,535.1388,20804.8702
G10773,2023,Saxon 10-19,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.262,404.9208,20804.8702
G10773,2023,Saxon 10-19,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13213.7562,16183.7371,20804.8702
G10773,2023,Saxon 10-19,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,4.2283,3681.0735,20804.8702
G10774,2023,Pouce Coupe South 03-22-078-12W6M,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,1165.1632,1215.7021,220890.2102
G10774,2023,Pouce Coupe South 03-22-078-12W6M,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.7953,1054.1413,220890.2102
G10774,2023,Pouce Coupe South 03-22-078-12W6M,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,171747.0086,217044.6995,220890.2102
G10774,2023,Pouce Coupe South 03-22-078-12W6M,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,6.965477,6.987102,220890.2102
G10774,2023,Pouce Coupe South 03-22-078-12W6M,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.879,1568.6802,220890.2102
G10776,2023,Wembley Gas Plant,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,6937.4467,8367.09352,56629.35512
G10776,2023,Wembley Gas Plant,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.08701,554.08941,56629.35512
G10776,2023,Wembley Gas Plant,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,46268.7497,46519.62833,56629.35512
G10776,2023,Wembley Gas Plant,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.73458,1188.54386,56629.35512
G10777,2023,Viewfield Sour Gas Plant 13-05,Saskatchewan,Oil and gas extraction (except oil sands),Flaring / Torchage,8206.3843,8620.5548,52318.6238
G10777,2023,Viewfield Sour Gas Plant 13-05,Saskatchewan,Oil and gas extraction (except oil sands),Leakage / Fuites,0.4966,1056.441,52318.6238
G10777,2023,Viewfield Sour Gas Plant 13-05,Saskatchewan,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,30181.604,31172.8983,52318.6238
G10777,2023,Viewfield Sour Gas Plant 13-05,Saskatchewan,Oil and gas extraction (except oil sands),Venting / Évacuation,2.3489,11468.7297,52318.6238
G10779,2023,Shepard Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Leakage / Fuites,0.2225,276.8821,2329406.346
G10779,2023,Shepard Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Stationary Fuel Combustion / Combustion stationnaire de combustibles,2313306.056,2329077.064,2329406.346
G10779,2023,Shepard Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Venting / Évacuation,0.04,52.4,2329406.346
G10780,2023,Sandall Thermal 06-14-051-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Flaring / Torchage,18967.63432,21082.81993,142397.5574
G10780,2023,Sandall Thermal 06-14-051-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Leakage / Fuites,0.86672,280.55256,142397.5574
G10780,2023,Sandall Thermal 06-14-051-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,119055.6737,119668.1159,142397.5574
G10780,2023,Sandall Thermal 06-14-051-24W3,Saskatchewan,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,6.48802,6.50631,142397.5574
G10780,2023,Sandall Thermal 06-14-051-24W3,Saskatchewan,Oil and gas extraction (except oil sands),Venting / Évacuation,0.69698,1359.56274,142397.5574
G10782,2023,LES FORGES DE SOREL CIE - ST-JOSEPH-DE-SOREL,Quebec,Forging,Stationary Fuel Combustion / Combustion stationnaire de combustibles,36146,36335.1385,37274.1371
G10782,2023,LES FORGES DE SOREL CIE - ST-JOSEPH-DE-SOREL,Quebec,Forging,Industrial Processes / Procédés industriels,844,844,37274.1371
G10782,2023,LES FORGES DE SOREL CIE - ST-JOSEPH-DE-SOREL,Quebec,Forging,On-site Transportation / Transport sur le site,87,94.9986,37274.1371
G10783,2023,Mosaic Potash Colonsay,Saskatchewan,Potash Mining,Stationary Fuel Combustion / Combustion stationnaire de combustibles,32439.3077,32601.1365,33928.2386
G10783,2023,Mosaic Potash Colonsay,Saskatchewan,Potash Mining,On-site Transportation / Transport sur le site,1312.7965,1327.1021,33928.2386
G10785,2023,Myra Falls Mine Ltd.,British Columbia,Copper-Zinc Ore Mining,Stationary Fuel Combustion / Combustion stationnaire de combustibles,32726.26,34048.0483,34048.0483
G10787,2023,Kakwa River Gas Plant 08-13-063-05W6,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,22935.325,23380.2925,226218.5164
G10787,2023,Kakwa River Gas Plant 08-13-063-05W6,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.325322,663.705998,226218.5164
G10787,2023,Kakwa River Gas Plant 08-13-063-05W6,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,186463.1344,201242.8812,226218.5164
G10787,2023,Kakwa River Gas Plant 08-13-063-05W6,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,91.6648,91.9944,226218.5164
G10787,2023,Kakwa River Gas Plant 08-13-063-05W6,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.3255,839.6423,226218.5164
G10788,2023,Redwater Fractionation and Storage Facility,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,112275.5333,113317.0024,139183.9494
G10788,2023,Redwater Fractionation and Storage Facility,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.018117,27.618977,139183.9494
G10788,2023,Redwater Fractionation and Storage Facility,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,23382.14533,23508.52801,139183.9494
G10788,2023,Redwater Fractionation and Storage Facility,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,2301.847508,2308.608558,139183.9494
G10788,2023,Redwater Fractionation and Storage Facility,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0,22.191456,139183.9494
G10789,2023,Saturn Deepcut Gas Plant 12-36,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,8041.1971,9429.9615,124067.3179
G10789,2023,Saturn Deepcut Gas Plant 12-36,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.238577,161.993653,124067.3179
G10789,2023,Saturn Deepcut Gas Plant 12-36,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,113246.3263,114088.0465,124067.3179
G10789,2023,Saturn Deepcut Gas Plant 12-36,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.4641,387.316216,124067.3179
G10790,2023,Peyto Swanson 12-31-053-19W5,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,245.854916,283.038901,66501.37918
G10790,2023,Peyto Swanson 12-31-053-19W5,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.7584,445.36214,66501.37918
G10790,2023,Peyto Swanson 12-31-053-19W5,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,50390.95416,64458.64993,66501.37918
G10790,2023,Peyto Swanson 12-31-053-19W5,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,38.329853,1314.328213,66501.37918
G10791,2023,Aluminerie Arvida - Centre technologique AP60,Quebec,Primary Production of Alumina and Aluminum,Stationary Fuel Combustion / Combustion stationnaire de combustibles,2590,2603.4855,104884.1319
G10791,2023,Aluminerie Arvida - Centre technologique AP60,Quebec,Primary Production of Alumina and Aluminum,Industrial Processes / Procédés industriels,88754,101860.1348,104884.1319
G10791,2023,Aluminerie Arvida - Centre technologique AP60,Quebec,Primary Production of Alumina and Aluminum,On-site Transportation / Transport sur le site,416.62,420.51155,104884.1319
G10792,2023,Saturn Gas Processing and Production IF-a,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,1120.22494,1312.25701,3423.8656
G10792,2023,Saturn Gas Processing and Production IF-a,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.02369,112.37061,3423.8656
G10792,2023,Saturn Gas Processing and Production IF-a,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,1798.53194,1981.34562,3423.8656
G10792,2023,Saturn Gas Processing and Production IF-a,British Columbia,Oil and gas extraction (except oil sands),Venting / Évacuation,0.00428,17.89236,3423.8656
G10793,2023,Slave Lake Pulp,Alberta,Mechanical Pulp Mills,Leakage / Fuites,0.05412,117.0804,76406.26488
G10793,2023,Slave Lake Pulp,Alberta,Mechanical Pulp Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,61412.435,74191.87399,76406.26488
G10793,2023,Slave Lake Pulp,Alberta,Mechanical Pulp Mills,On-site Transportation / Transport sur le site,938.607,948.89179,76406.26488
G10793,2023,Slave Lake Pulp,Alberta,Mechanical Pulp Mills,Venting / Évacuation,0,6.1152,76406.26488
G10793,2023,Slave Lake Pulp,Alberta,Mechanical Pulp Mills,Waste / Déchets,83.346,1027.5055,76406.26488
G10793,2023,Slave Lake Pulp,Alberta,Mechanical Pulp Mills,Wastewater / Eaux usées,0,114.798,76406.26488
G10795,2023,Banshee Gas Plant (15-12-050-21W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,302.556,343.9608,72234.2107
G10795,2023,Banshee Gas Plant (15-12-050-21W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,1.0535,655.2315,72234.2107
G10795,2023,Banshee Gas Plant (15-12-050-21W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,63238.5595,68493.6514,72234.2107
G10795,2023,Banshee Gas Plant (15-12-050-21W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,4.1094,2741.367,72234.2107
G10796,2023,West Doe Gas Plant (13-25-080-16W6) - TOU,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,2580.718694,2929.150317,65804.06284
G10796,2023,West Doe Gas Plant (13-25-080-16W6) - TOU,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.539968,2956.896784,65804.06284
G10796,2023,West Doe Gas Plant (13-25-080-16W6) - TOU,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,54444.98053,59918.01574,65804.06284
G10797,2023,Spirit River 06-03-078-07W6 Battery,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,3009.144,3420.9132,41229.0988
G10797,2023,Spirit River 06-03-078-07W6 Battery,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0,28.9408,41229.0988
G10797,2023,Spirit River 06-03-078-07W6 Battery,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,34894.8868,37779.2448,41229.0988
G10798,2023,Musreau Gas Plant (08-13-062-06W6) - TOU,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,414.276,470.9644,73981.9787
G10798,2023,Musreau Gas Plant (08-13-062-06W6) - TOU,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.4508,774.942,73981.9787
G10798,2023,Musreau Gas Plant (08-13-062-06W6) - TOU,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,65693.0888,71147.7892,73981.9787
G10798,2023,Musreau Gas Plant (08-13-062-06W6) - TOU,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,1.2711,1588.2831,73981.9787
G10799,2023,Wildriver Gas Plant (14-20-056-23W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,365.484,415.4965,89938.2337
G10799,2023,Wildriver Gas Plant (14-20-056-23W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.4156,320.2372,89938.2337
G10799,2023,Wildriver Gas Plant (14-20-056-23W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,78690.5641,85200.0156,89938.2337
G10799,2023,Wildriver Gas Plant (14-20-056-23W5) - TOU,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,5.35,4002.4844,89938.2337
G10800,2023,TRT ETGO du Québec inc.,Quebec,Oilseed Processing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,53351.8275,53629.8897,53791.93403
G10800,2023,TRT ETGO du Québec inc.,Quebec,Oilseed Processing,Industrial Processes / Procédés industriels,0,6.109036,53791.93403
G10800,2023,TRT ETGO du Québec inc.,Quebec,Oilseed Processing,On-site Transportation / Transport sur le site,141.507,155.93529,53791.93403
G10801,2023,Blair Creek Comp Stn d-058-F,British Columbia,Oil and gas extraction (except oil sands),Flaring / Torchage,352.62617,409.46004,21309.10257
G10801,2023,Blair Creek Comp Stn d-058-F,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.45563,363.88387,21309.10257
G10801,2023,Blair Creek Comp Stn d-058-F,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,19917.99989,20021.04175,21309.10257
G10801,2023,Blair Creek Comp Stn d-058-F,British Columbia,Oil and gas extraction (except oil sands),Venting / Évacuation,1.54439,514.71691,21309.10257
G10802,2023,Gordondale Sour Gas Plant 16-31,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,1950.27112,2025.91601,122372.4329
G10802,2023,Gordondale Sour Gas Plant 16-31,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.4565,763.27702,122372.4329
G10802,2023,Gordondale Sour Gas Plant 16-31,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,85477.51793,118811.7615,122372.4329
G10802,2023,Gordondale Sour Gas Plant 16-31,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.08589,771.47833,122372.4329
G10804,2023,AOC Hangingstone SAGD,Alberta,In-situ oil sands extraction,Flaring / Torchage,779.2315,811.5625,230061.8744
G10804,2023,AOC Hangingstone SAGD,Alberta,In-situ oil sands extraction,Leakage / Fuites,0.1611,503.7187,230061.8744
G10804,2023,AOC Hangingstone SAGD,Alberta,In-situ oil sands extraction,Stationary Fuel Combustion / Combustion stationnaire de combustibles,227781.3518,228242.6746,230061.8744
G10804,2023,AOC Hangingstone SAGD,Alberta,In-situ oil sands extraction,Industrial Processes / Procédés industriels,0,0.846,230061.8744
G10804,2023,AOC Hangingstone SAGD,Alberta,In-situ oil sands extraction,On-site Transportation / Transport sur le site,494.4924,503.0726,230061.8744
G10805,2023,Durham York Energy Centre,Ontario,Waste Treatment and Disposal,Stationary Fuel Combustion / Combustion stationnaire de combustibles,70437.9025,73848.73785,73848.73785
G10806,2023,Ferrier Comp Stn 13-05,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,838.7237,950.82065,87612.18867
G10806,2023,Ferrier Comp Stn 13-05,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.8217,705.72506,87612.18867
G10806,2023,Ferrier Comp Stn 13-05,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,68889.479,83453.72511,87612.18867
G10806,2023,Ferrier Comp Stn 13-05,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,1.79869,2501.91785,87612.18867
G10807,2023,Fort Saskatchewan Plant,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,4949.63236,5006.78436,136096.6882
G10807,2023,Fort Saskatchewan Plant,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.03537,69.76965,136096.6882
G10807,2023,Fort Saskatchewan Plant,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,130087.0908,130787.752,136096.6882
G10807,2023,Fort Saskatchewan Plant,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,78.378,79.55,136096.6882
G10807,2023,Fort Saskatchewan Plant,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.0748,152.83216,136096.6882
G10808,2023,Guelph Campus,Ontario,Universities,Stationary Fuel Combustion / Combustion stationnaire de combustibles,41229.46,41445.73828,41445.73828
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,Flaring / Torchage,44.9884,44.9884,86209.0695
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,Stationary Fuel Combustion / Combustion stationnaire de combustibles,51234.8153,51507.0021,86209.0695
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,Industrial Processes / Procédés industriels,0,103.962,86209.0695
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,On-site Transportation / Transport sur le site,191.5655,202.9632,86209.0695
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,Venting / Évacuation,7787.4864,7787.4864,86209.0695
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,Waste / Déchets,0,12310.1717,86209.0695
G10809,2023,JBS Foods Canada Inc.,Alberta,Beef cattle slaughtering,Wastewater / Eaux usées,0,14252.4957,86209.0695
G10810,2023,Long Harbour Operations,Newfoundland and Labrador,Non-Ferrous Metal (except Aluminum) Smelting and Refining,Stationary Fuel Combustion / Combustion stationnaire de combustibles,20033.3,20858.95,41037.66
G10810,2023,Long Harbour Operations,Newfoundland and Labrador,Non-Ferrous Metal (except Aluminum) Smelting and Refining,Industrial Processes / Procédés industriels,17394,17394,41037.66
G10810,2023,Long Harbour Operations,Newfoundland and Labrador,Non-Ferrous Metal (except Aluminum) Smelting and Refining,On-site Transportation / Transport sur le site,2675.07,2784.71,41037.66
G10811,2023,Petyo Oldman North 14-17-055-21W5,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,125.359053,145.199083,67899.06925
G10811,2023,Petyo Oldman North 14-17-055-21W5,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,1.36612,903.64008,67899.06925
G10811,2023,Petyo Oldman North 14-17-055-21W5,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,51489.58858,66095.39479,67899.06925
G10811,2023,Petyo Oldman North 14-17-055-21W5,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,100.08036,754.8353,67899.06925
